"Model","RMSE","MAE"
"ARIMAX",3077.51973863415,2395.36360290033
"Prophet",3240.63269971396,2488.9822222086
"XGBoost (with GARCH)",30002.5480428558,23606.9030375777
"LSTM (Scaled)",24699.6723422985,20402.0405095848
"Hybrid (ARIMA-LSTM)",3244.39569538035,2522.58448089715
